YEAR,PRED, PETD,CLDD, DTRD,  TMPD,  TMND,  TMXD,  VAPD,  WETD
1960,292.5,3,78.3,7.1,26.3,22.8,29.9,29.1,26.87
1961,166.7,3.3,74.3,8.7,27,22.7,31.4,29.3,20.93
1962,295.9,3.3,76,8.3,26.8,22.7,31,28.8,26.85
1963,329.4,3,79.7,7.8,26,22.1,29.9,28.5,28.51
1964,228.7,3,81,7.6,26.5,22.7,30.3,29.4,23.87
1965,228.3,3.1,76.2,8,26.4,22.4,30.4,28.9,24.2
1966,247.3,3.2,73.4,7.8,26.4,22.5,30.3,28.8,24.91
1967,265,3,79.6,7.8,26.7,22.8,30.6,29.7,25.8
1968,268.2,2.9,80.8,7.4,25.8,22.1,29.5,28.4,25.97
1969,236.9,3.3,75,8.4,27.5,23.3,31.7,30,24.61
1970,156.2,3,79.3,8,26.2,22.2,30.2,28.9,20.27
1971,155.1,3.1,78.5,8,26.5,22.5,30.5,28.9,19.89
1972,257.7,3.3,74.5,8.3,26.9,22.8,31.1,28.9,25.34
1973,280.8,3.2,76.2,8.2,27.1,23,31.2,30,26.38
1974,261.2,2.9,79.8,8,26.2,22.2,30.2,29.4,25.73
1975,241.4,3.2,78,7.9,26.6,22.7,30.6,28.8,23.83
1976,178.9,3.1,76.4,8.3,26.4,22.3,30.6,28.9,21.47
1977,200.5,3,81.2,7.4,26.6,22.9,30.3,29.5,22.86
1978,349.8,3,79.6,7.7,26.4,22.6,30.3,29.1,28.34
1979,239.7,3,78.9,7.9,26.4,22.5,30.4,29,24.67
1980,190.9,3.3,75.1,8.4,27.2,23,31.4,29.4,21.73
1981,181.3,3.2,75.7,8.3,26.2,22.1,30.4,28.3,21.29
1982,193.2,3.2,76,8.1,26.4,22.4,30.5,28.4,22.17
1983,191.1,3.2,76.5,8,27.3,23.3,31.3,29.9,22.18
1984,368.1,2.9,80.7,7.5,26.4,22.7,30.2,29.9,29.72
1985,190.5,3.1,75.4,8.2,26.3,22.2,30.4,28.8,22.18
1986,328.3,3,79.8,7.7,26.4,22.6,30.3,29,28.28
1987,182.9,3.5,72.7,8.5,27.4,23.2,31.7,29.4,21.24
1988,215.4,3.3,74.5,8.4,27.1,22.9,31.3,29.4,23.46
1989,231.6,2.9,81.7,7.5,26.2,22.5,30,29,24.27
1990,197.6,3.1,78.7,7.7,26.7,22.9,30.6,29.7,22.52
1991,57.7,3.4,69.7,9.1,26.8,22.3,31.4,28.9,12
1992,338,2.9,85.4,7.2,27.2,23.6,30.8,30.2,28.49
1993,267.7,3.4,72.8,8.1,27.2,23.2,31.3,29.6,25.65
1994,232.7,3.2,77.4,8.9,26.8,22.4,31.3,29.1,24.5
1995,225.1,3,81.9,8,26.9,22.9,30.9,29.8,24.02
1996,192.8,3,77,7.5,26.5,22.8,30.3,29.6,22.33
1997,202.8,3,77.5,7.8,26.7,22.8,30.6,30.1,22.73
1998,309.5,3,77.5,7.2,27.1,23.5,30.7,31,26.2
1999,247,3,77.5,7.4,26.7,23,30.4,30.2,25.16
2000,159.2,3.3,77.5,8.5,27.2,23,31.5,29.2,20.41
2001,230.1,3,77.5,7.7,26.6,22.8,30.5,30.2,24.47
2002,313.1,3.1,77.5,7,27,23.5,30.5,30.4,24.75
2003,77.1,3.6,66.8,9,27.9,23.4,32.4,30.4,13.29
2004,244.5,2.9,81.7,7.1,26.9,23.4,30.5,30.9,24.92
2005,148.5,3.4,73.2,8.1,27.3,23.3,31.4,29.9,19.81
2006,275.5,3,78,7.4,26.5,22.8,30.2,29.9,26.2
2007,140.1,3.3,73.8,8.2,26.9,22.8,31,29.2,19.24
2008,181.5,3,81.6,7.1,26.5,23,30.1,29.3,21.25
2009,138.7,3.1,76.2,8.1,26.4,22.4,30.5,29.5,18.83
2010,270.6,3.3,76.9,7.6,27.5,23.7,31.3,30.1,26.07
